Pos,FG%,3PA,2P%,eFG%,ORB,DRB,TRB,BLK,Proximity
2,0.487,5.8,0.553,0.594,0.3,2.8,3.1,0.2,1
2,0.485,5.6,0.561,0.58,0.4,3.0,3.4,0.2,1
2,0.493,6.5,0.529,0.63,0.2,2.4,2.6,0.2,1
3,0.437,11.7,0.527,0.554,0.5,4.7,5.2,0.4,1
0,0.532,1.8,0.571,0.542,2.7,7.2,9.9,2.3,0
0,0.688,0.0,0.688,0.688,0.5,1.6,2.1,0.3,0
2,0.423,5.0,0.542,0.515,0.4,2.8,3.1,0.4,1
1,0.571,0.6,0.6,0.643,0.1,0.7,0.9,0.0,0
0,0.566,0.7,0.597,0.598,1.6,4.2,5.8,0.6,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
1,0.504,1.9,0.52,0.521,0.7,4.4,5.2,0.3,0
1,0.532,0.4,0.595,0.532,1.3,3.2,4.5,0.7,0
0,0.375,0.0,0.375,0.375,1.3,2.7,4.0,0.0,0
2,0.496,1.6,0.55,0.518,1.2,3.6,4.8,0.3,1
0,0.473,1.5,0.545,0.603,0.7,2.0,2.8,0.3,0
3,0.416,4.9,0.479,0.493,0.7,3.5,4.2,0.2,1
3,0.376,5.1,0.432,0.447,0.8,3.9,4.7,0.2,1
3,0.498,4.5,0.568,0.584,0.4,2.7,3.1,0.3,1
2,0.351,5.2,0.373,0.461,1.0,3.1,4.0,0.2,1
2,0.331,4.4,0.409,0.419,1.1,2.5,3.5,0.2,1
2,0.362,5.8,0.351,0.484,0.9,3.5,4.4,0.2,1
3,0.457,8.8,0.528,0.529,0.9,8.3,9.1,0.6,1
4,0.404,7.7,0.487,0.493,0.7,3.4,4.2,0.4,1
2,0.52,2.4,0.596,0.585,0.4,2.4,2.8,0.4,1
2,0.5,0.5,0.667,0.5,0.0,1.0,1.0,0.0,1
3,0.478,0.8,0.643,0.522,0.1,0.7,0.8,0.0,1
1,0.625,1.0,0.667,0.688,1.0,2.0,3.0,1.0,0
3,0.308,1.0,0.412,0.327,0.9,1.1,2.0,0.1,1
3,0.5,0.3,0.6,0.5,0.3,1.5,1.8,0.3,1
3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,0.263,1.8,0.333,0.289,1.8,1.0,2.8,0.0,1
2,0.364,2.7,0.412,0.439,0.8,2.7,3.5,0.3,1
3,0.377,3.0,0.466,0.43,0.6,2.5,3.1,0.2,1
3,0.382,2.8,0.45,0.441,0.4,2.4,2.8,0.2,1
3,0.376,3.1,0.471,0.427,0.7,2.5,3.2,0.2,1
0,0.57,0.0,0.574,0.57,3.1,6.2,9.3,0.9,0
