Pos,FG%,3PA,2P%,eFG%,ORB,DRB,TRB,BLK,Proximity
4,0.466,5.5,0.513,0.543,1.2,3.3,4.5,0.7,1
3,0.426,1.4,0.486,0.5,0.2,1.2,1.3,0.1,1
3,0.372,4.4,0.42,0.427,0.8,2.3,3.1,0.4,1
1,0.475,3.4,0.569,0.597,0.8,2.7,3.6,0.7,0
4,0.461,2.5,0.536,0.525,1.5,3.0,4.5,0.2,1
3,0.391,1.8,0.404,0.448,0.3,1.3,1.6,0.1,1
1,0.529,1.7,0.534,0.603,1.0,3.1,4.1,0.5,0
0,0.736,0.0,0.738,0.736,3.9,5.7,9.6,2.2,0
4,0.45,3.9,0.632,0.54,0.4,1.7,2.1,0.2,1
1,0.733,0.5,0.846,0.733,0.3,3.8,4.0,0.3,0
4,0.378,1.4,0.571,0.485,0.4,1.4,1.8,0.1,1
4,0.428,1.4,0.497,0.457,1.0,3.2,4.2,0.5,1
4,0.447,0.8,0.518,0.465,0.8,2.8,3.6,0.5,1
4,0.405,3.4,0.468,0.448,1.8,4.5,6.3,0.6,1
3,0.364,0.9,0.4,0.455,0.0,0.1,0.1,0.0,1
0,0.501,4.9,0.57,0.576,1.6,8.5,10.1,1.0,0
4,0.125,0.3,0.083,0.156,0.4,0.5,0.9,0.1,1
2,0.454,1.5,0.51,0.535,0.6,2.2,2.9,0.2,1
3,0.667,0.4,1.0,0.833,0.0,0.0,0.0,0.0,1
1,0.25,0.3,0.333,0.25,0.3,0.5,0.8,0.3,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,0.25,0.3,0.333,0.25,0.3,0.7,1.0,0.3,0
2,0.286,3.0,1.0,0.357,0.0,1.0,1.0,0.5,1
1,0.518,0.9,0.554,0.55,1.5,2.5,4.0,0.3,0
1,0.578,0.2,0.602,0.578,1.5,2.0,3.6,0.3,0
1,0.465,1.7,0.495,0.524,1.5,2.9,4.4,0.4,0
3,0.46,8.0,0.512,0.536,0.7,3.1,3.7,0.1,1
0,0.526,0.2,0.547,0.528,1.5,3.7,5.3,0.4,0
0,0.567,0.1,0.593,0.567,1.9,2.8,4.6,0.2,0
0,0.626,0.0,0.626,0.626,2.9,5.6,8.5,1.0,0
