,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
440,SG,-0.9926361816898746,BOS,0.2906459757610266,-0.4843309209061474,-0.17303686725332976,-0.47549825110697846,-0.4630119832362278,0.01850272027668737,-0.19270161556436124,-0.28866187954951844,0.4661029889548447,-0.5093801666464294,-0.47663593615164007,0.040151771666748,0.12915199189926851,-0.5450922109074363,-0.48694658767167903,-0.2324578800818684,-0.15572320084879573,-0.45253152864807744,-0.39286671001055207,-0.7691374457788797,-0.18722636849495394,0.1290959355457382,-0.7057911951136168,-0.6729461711853479,-0.5005743556610492
441,SG,-0.9926361816898746,SAS,-1.2537602799140959,-0.6955341014858272,-0.7646590277240702,-0.834723380868102,-0.9779321088591961,0.9667503138021148,-1.0229617545618186,-0.9221792444206826,-1.7316158277428113,-0.5661129275269547,-0.7896364599332976,1.7183627734852367,0.5296504692897094,-0.3089318532534687,0.278794803207304,-0.979753758944507,-1.0954729840383781,-0.8458956569286552,-0.9906909876939598,-0.7137506208243695,-0.6584077839782934,-0.976048784921282,-1.201280327669065,-1.5191531439111765,-0.8103862419996171
442,SF,-0.008060131394109327,CHI,1.178679572774222,2.1345885182818827,1.7160023117935965,2.488109069422291,2.4334137233929685,0.332359318133695,2.298078801428011,2.064402618543377,0.7179905324158943,2.1003268338577348,2.1212684112361173,0.2547426866533746,0.4215794515811782,2.839872915466098,2.576018975844253,0.6972764293012268,-0.6927230769571285,1.0085352335369255,0.5465714406348029,1.5017223773560417,0.048364339246715696,-0.14719024457101693,2.0193990339413475,0.294147511929885,2.7116857290072582
443,SF,0.23808388117983198,MIN,-0.09545558815775401,-0.6532934653698913,-1.1798324736684496,-0.8796265220882425,-0.9135670931563251,-0.1016976789025923,-0.7857445719911164,-0.695923042680981,-0.2895596414283033,-0.7930439710490559,-0.852236564689629,0.50234758856102,-0.13784699302769216,-0.6238123301254255,-0.6783819353914249,0.23767192164392315,-0.8269730459842116,-0.9020905323973092,-0.9479892535737163,-0.82452427073339,-0.893998491719963,-0.699762604804527,-0.8296634782524789,-1.3982664335217723,-0.8756097970182628
444,SG,0.7303719063277146,GSW,1.0242389472067097,-0.4843309209061474,0.17986056179939253,-0.07136998012571434,-0.05536688378471138,0.09863631972954048,0.16312415829169194,0.20910176427782484,0.39053672591653016,-0.1689836013632776,-0.22623551712631398,0.2932590047278973,0.22450877223032603,-0.15149161481749043,-0.23169945737868475,0.7920040759176178,-0.5584731079300452,0.16561210150711603,-0.05125283704860462,-0.43681649605181805,0.048364339246715696,-0.699762604804527,-0.45804662883589287,-0.0685126192383274,-0.06031535928518985
445,PG,-0.9926361816898746,DET,0.020374881017880174,-0.6955341014858272,-0.19379553955054865,-0.4305951098868381,-0.3342819518304858,-0.24193147794508488,-0.5485273894204143,-0.42441560059333927,-0.26437088708219836,-0.2824491231243282,-0.1949354647481482,-0.09740650717083314,-0.37306038451096735,0.2421089812724554,0.21498302063405536,0.47273682250681914,-0.4242231389029621,-0.3401417777107696,-0.39286671001055207,0.6155331780838773,0.9907271702133945,-0.14719024457101693,0.0374425037195552,-0.43117275040653974,-0.3538213568690962
446,C,0.4842278937537733,SAC,0.0975951938016363,-0.2731277403264675,-0.23531288414498663,-0.20607940378613582,-0.39864696753335677,0.7196717154891518,-0.7857445719911164,-0.9221792444206826,0.06938010800369186,0.17141296391987415,0.05546495427717776,0.4418219458724843,0.4025080955149667,-0.0727714955995012,0.023547672914309696,-0.011426704643622934,0.6497766133137036,0.16561210150711603,0.33306277003358586,-0.3260428461427975,-0.6584077839782934,0.6816682957792481,0.16131478685841733,1.261241195045118,-0.2885978018504503
447,SG,0.23808388117983198,TOT,0.8311881652473194,1.3742570681950352,1.3008288658492169,1.6349493862396225,1.789763566364258,0.11866971959275377,0.637558523433096,0.8426191291489892,0.28348451994558405,1.7599302685745826,2.0273682541016202,0.051156433973754495,0.027438092879473835,1.029310173452347,1.1083479766595354,0.35695858775345246,-0.15572320084879573,0.22180697697577004,0.16225583355261244,1.3909487274470211,0.755136462471725,0.1290959355457382,1.152293051969313,0.8985810638769052,1.50504996116231
448,SG,0.23808388117983198,IND,0.0975951938016363,0.9518507070356756,1.342346210443655,1.904368233560465,2.0472236291757424,0.13870311945596706,0.8747757060037984,1.02362409054075,0.3023760857051628,2.0435940729772093,2.277768673126946,0.07316575858776747,0.052866567634422504,1.2654705311063144,1.36359510695253,0.37099231317810294,-0.021473231821712423,0.3341967279130781,0.20495756767285572,1.4463355524015318,0.755136462471725,0.40538211566249316,1.152293051969313,0.8985810638769052,1.7822500699915549
449,SG,0.23808388117983198,CLE,-0.6746079340359249,-0.2731277403264675,1.2074148405117315,1.0961116915979372,1.2533884355069995,0.05856952000311393,0.2817327495770431,0.4353579660175263,0.23940419983990036,1.249335420649855,1.526567416050968,-0.014871539868284453,-0.042490212696635006,0.4782693389264229,0.597853716073547,0.31836584283566355,-0.15572320084879573,0.10941722603846227,0.034150631191882094,1.1694014276289804,0.5195457547300553,-0.14719024457101693,0.9045484856915892,0.6568076430980974,0.9506497435038205
450,PG,-1.4849242068377573,NOP,-0.4815571520765346,-0.6955341014858272,-0.41176159867134793,-0.16117626256599532,-0.05536688378471138,-0.1484422785834229,-0.4299187981350633,-0.06240567780981698,-0.32104558436093455,-0.05551807960222702,-0.038435202857319446,0.19421704396483888,-0.24591801073622402,-0.6238123301254255,-0.6783819353914249,0.6271078021779743,-0.5584731079300452,-0.6773110305226933,-0.7344805829724993,0.11705175349328482,-0.18722636849495394,-0.976048784921282,0.16131478685841733,-1.0356063023535602,-0.30490369060511174
451,SG,-1.238780194263816,CHO,-1.330980592697852,-0.6955341014858272,-1.5223505665725625,-1.2837547930695066,-1.3641222030764222,-2.846273460162809,-1.0229617545618186,-1.148435446160384,-1.7316158277428113,-1.1334405363322078,-1.1965371408494523,-2.683502149317356,-3.1002643019792098,-0.5450922109074363,-0.3593230225251819,-0.5411998394241792,-1.0954729840383781,-1.4078444116151947,-1.4177083288963939,-0.7137506208243695,-0.18722636849495394,-0.976048784921282,-1.201280327669065,-1.8818132750793888,-1.1854216833568305
452,PG,1.2226599314755973,POR,-0.2885063701171443,0.529444345876316,1.8924510263199572,2.1737870808813082,2.712328791438743,-0.16179787849223176,2.7725131665694156,3.2861861079377657,0.308673274291689,1.419533703291431,1.6830676779417966,-0.014871539868284453,-0.010704619252949169,3.3909137499920226,2.9588896712837447,0.7849872132052925,-0.5584731079300452,0.6713659807250019,0.33306277003358586,3.0525534760823296,0.048364339246715696,0.1290959355457382,2.3910158833579334,-0.31028604001713556,2.6464621739886125
453,SF,-1.238780194263816,POR,0.21342566297727047,0.27600052918070006,0.8026207307159615,0.28785514963540915,0.2450031894953535,0.2255145188632246,0.400341340862394,0.525860446713407,0.3527535943973727,0.11468020303934905,-0.007135150479153804,0.5298592443285363,0.33893690862759507,0.32082910049044466,0.4064183683538013,0.2797730979178747,0.7840265823407866,0.9523403580682717,0.9735887818372371,-0.27065602118828713,0.048364339246715696,1.5105268361295134,0.0374425037195552,0.5359209327086931,0.3310259708266852
454,SF,-0.7464921691159333,DET,-0.6746079340359249,-0.4843309209061474,0.21099857024522106,-0.2958856862264166,-0.35573695706477604,0.19880331904560689,0.637558523433096,0.390106725669586,0.9257977557712599,-0.7363112101685306,-0.7583364075551318,0.2767520112673876,0.7521496233955102,-0.46637209168944715,-0.5507583702449277,0.7113101547258773,-0.021473231821712423,-0.17155715130480753,-0.13665630528909153,-0.3814296710973077,0.28395504698838536,0.1290959355457382,-0.21030206255816875,0.4150342223192889,-0.22337424683180443
455,C,-0.25420414396805063,GSW,1.757831918652393,2.6837167877890504,0.3044125955827066,-0.16117626256599532,-0.42010197276764705,0.9667503138021148,-1.0229617545618186,-1.148435446160384,-1.7316158277428113,0.28487848568092483,0.18066516378984088,0.46933360164000054,0.5296504692897094,-0.2302117340354796,-0.04026410965893895,-0.1903567038079169,2.260776241638702,1.2333147354115415,1.6995182618813751,0.11705175349328482,0.048364339246715696,0.6816682957792481,-0.21030206255816875,1.261241195045118,-0.2885978018504503
456,C,1.71494795662348,MIL,-0.9062688723871933,-0.23088710421053155,0.49124064625767705,0.8266928442770947,0.8028333255869023,0.26558131858965117,0.7561671147184472,0.706865408105168,0.5227776862335809,0.6820078118446021,0.6814660018404928,0.2767520112673876,0.31986555256138355,0.2421089812724554,0.15117123806080685,0.7569197623559915,0.9182765513678699,0.05322235056980826,0.33306277003358586,-0.7137506208243695,0.048364339246715696,2.339385376479778,-0.08642977941930678,1.261241195045118,0.7549790784478831
457,C,1.71494795662348,ORL,-0.018235275373997887,-0.3153683764424035,-0.12114018651028234,0.10824258475484741,-0.18409691519045335,0.8465499146228359,-0.9043531632764675,-1.0579329654645033,0.3653479715704252,0.5685422900835514,0.49366568757149837,0.39780329664445896,0.4470079263361269,-0.2302117340354796,-0.04026410965893895,-0.21491572330105527,1.4552764274762024,-0.5087264041167313,0.07685236531212554,-0.1598823712792666,-1.1295891994616327,0.40538211566249316,0.28518706999727916,0.4150342223192889,-0.10923302554917434
459,SF,-0.9926361816898746,NOP,-1.330980592697852,-0.6955341014858272,-1.5223505665725625,-1.2837547930695066,-1.0422971245620671,-2.846273460162809,-1.0229617545618186,-0.4696668409412796,-1.7316158277428113,-1.1334405363322078,-1.1965371408494523,-2.683502149317356,-3.1002643019792098,-0.9386928069973821,-0.9974408482576678,-2.2954155175054907,0.24702670623245393,-1.4078444116151947,-0.9906909876939598,-0.7137506208243695,-1.3651799072033024,-0.976048784921282,-1.201280327669065,-1.8818132750793888,-1.266951127130138
460,SG,-0.9926361816898746,POR,-1.1379298107384617,-0.6532934653698913,-0.07962284191584455,-0.5204013923271189,-0.4415569780019375,-0.17515347840104062,0.5189499321477452,0.1638505239298845,1.1021190361939945,-0.9065094928101066,-0.7583364075551318,-1.032802803266384,0.3961509768262296,-0.7025324493434146,-0.806005500537922,1.2130158386571326,-0.5584731079300452,-0.45253152864807744,-0.5209719123712823,-0.6583637958698593,-0.6584077839782934,-0.14719024457101693,-0.33417434569703086,0.4150342223192889,-0.45165668939706494
461,PF,1.71494795662348,CLE,1.4489506675173685,-0.5265715570220834,0.44972330166323926,0.6919834206166734,0.8457433360554832,0.025180520231091796,1.9422530275719578,1.7476439361077951,0.736882098175473,-0.05551807960222702,-0.007135150479153804,0.029147109359741512,0.41522233289244104,0.7931498157983797,0.7254772812200442,0.6446499589587874,0.5155266442866202,2.0200429919726965,1.656816527761132,0.2278254034023055,-0.4228170762366236,-0.4234764246877719,0.4090593531361413,-0.1893993296277316,0.9506497435038205
462,PG,2.2072359817713627,MIA,1.0242389472067097,1.9656259738181387,1.6329676226047203,0.6919834206166734,0.781378320352612,0.09195851977513606,1.7050358450012555,1.6118902150639738,0.6424242693775795,0.057947442158823685,0.024164901899011975,0.2822543424208908,0.4279365702699154,0.8718699350163687,0.7892890637932926,0.6902595665889015,-0.4242231389029621,0.8399506071309637,0.5038697065145596,3.1633271259913505,1.2263178779550645,-0.14719024457101693,2.1432713170802096,1.5030146158239257,0.9180379659944977
463,SG,0.23808388117983198,PHO,-1.2537602799140959,-0.6955341014858272,-0.7439003554268514,-0.7000139572076807,-0.3342819518304858,-1.0900120721544464,-0.0740930242790101,-0.24341063920157813,0.6298298922045269,-0.8497767319295813,-0.3201356742608113,-1.6820778793797664,-0.9261297104311003,-0.9386928069973821,-0.9974408482576678,-2.2954155175054907,-0.4242231389029621,-0.6773110305226933,-0.6490771147320125,0.560146353129367,0.5195457547300553,-0.976048784921282,-0.21030206255816875,0.294147511929885,-0.7288567982263098
464,SF,-0.008060131394109327,ATL,0.5995272268960511,0.06479734860102024,-0.5155549601574428,-0.6551108159875403,-0.5917420146419698,-0.18850907830984948,-0.0740930242790101,-0.10765691815775731,0.5416692519931595,-0.7930439710490559,-0.8209365123114633,-0.10290883832433638,0.18000894140916585,-0.387651972471458,-0.48694658767167903,0.7007848606573894,-0.6927230769571285,-0.6773110305226933,-0.7344805829724993,-0.5475901459608385,-0.6584077839782934,-0.699762604804527,-0.7057911951136168,-0.0685126192383274,-0.5494920219250337
465,PF,-0.008060131394109327,TOT,1.4875608239092464,0.27600052918070006,0.24213657869104957,0.28785514963540915,0.2450031894953535,0.26558131858965117,0.04451556700634093,0.11859928358194416,0.28978170853211027,0.3416112465614502,0.27456532092433805,0.353784647416433,0.24358012829653752,1.1080302926703363,1.0445361940862872,0.5183464301369333,0.5155266442866202,0.7837557316623096,0.76008011123602,-0.3260428461427975,-0.4228170762366236,0.1290959355457382,0.0374425037195552,0.052374091151076815,0.4451671921093153
466,PF,-0.008060131394109327,DET,0.560917070504173,-0.5688121931380193,0.12796388105634512,0.24295200841526868,0.2450031894953535,0.19880331904560689,0.04451556700634093,0.1638505239298845,0.16383793680158548,0.3416112465614502,0.27456532092433805,0.34277998510942653,0.16093758534295435,1.1867504118883256,1.2359715418060329,0.455194665726006,0.5155266442866202,0.6151711052563479,0.6319749088752898,-0.3814296710973077,-0.4228170762366236,0.40538211566249316,0.16131478685841733,0.294147511929885,0.42886130335465394
